[aaa] Max Price: 12, Min Price: 5, Unweighted Average Price: 5.909090909090909, Total Volume Traded: 8024
[aab] Max Price: 290, Min Price: 96, Unweighted Average Price: 193.61290322580646, Total Volume Traded: 9939
[aac] Max Price: 19, Min Price: 5, Unweighted Average Price: 6.671875, Total Volume Traded: 9287
[aad] Max Price: 353, Min Price: 91, Unweighted Average Price: 197.51666666666668, Total Volume Traded: 9806
[aae] Max Price: 735, Min Price: 223, Unweighted Average Price: 450.9193548387097, Total Volume Traded: 10325
[aaf] Max Price: 649, Min Price: 245, Unweighted Average Price: 418.811320754717, Total Volume Traded: 6777
[aag] Max Price: 211, Min Price: 66, Unweighted Average Price: 127.10714285714286, Total Volume Traded: 8861
[aba] Max Price: 990, Min Price: 246, Unweighted Average Price: 508.7413793103448, Total Volume Traded: 8521
[abb] Max Price: 428, Min Price: 171, Unweighted Average Price: 283.271186440678, Total Volume Traded: 9666
[abc] Max Price: 176, Min Price: 28, Unweighted Average Price: 74.67213114754098, Total Volume Traded: 8709
[abd] Max Price: 41, Min Price: 5, Unweighted Average Price: 11.125, Total Volume Traded: 8759
[abe] Max Price: 305, Min Price: 103, Unweighted Average Price: 184.48214285714286, Total Volume Traded: 8674
[abf] Max Price: 223, Min Price: 22, Unweighted Average Price: 87.40625, Total Volume Traded: 8157
[abg] Max Price: 142, Min Price: 16, Unweighted Average Price: 63.08064516129032, Total Volume Traded: 10086
[aca] Max Price: 47, Min Price: 5, Unweighted Average Price: 17.870967741935484, Total Volume Traded: 8939
[acb] Max Price: 99, Min Price: 35, Unweighted Average Price: 59.74193548387097, Total Volume Traded: 8674
[acc] Max Price: 11, Min Price: 5, Unweighted Average Price: 5.678571428571429, Total Volume Traded: 9022
[acd] Max Price: 66, Min Price: 12, Unweighted Average Price: 29.758064516129032, Total Volume Traded: 9321
[ace] Max Price: 62, Min Price: 24, Unweighted Average Price: 41.535714285714285, Total Volume Traded: 7226
[acf] Max Price: 277, Min Price: 14, Unweighted Average Price: 153.36666666666667, Total Volume Traded: 8301
[acg] Max Price: 310, Min Price: 152, Unweighted Average Price: 209.35294117647058, Total Volume Traded: 7972
[ada] Max Price: 347, Min Price: 13, Unweighted Average Price: 130.63636363636363, Total Volume Traded: 9418
[adb] Max Price: 291, Min Price: 87, Unweighted Average Price: 155.93548387096774, Total Volume Traded: 8870
[adc] Max Price: 602, Min Price: 246, Unweighted Average Price: 372.57142857142856, Total Volume Traded: 8900
[add] Max Price: 376, Min Price: 121, Unweighted Average Price: 234.11320754716982, Total Volume Traded: 6255
[ade] Max Price: 53, Min Price: 14, Unweighted Average Price: 31.440677966101696, Total Volume Traded: 8587
[adf] Max Price: 103, Min Price: 5, Unweighted Average Price: 38.06060606060606, Total Volume Traded: 9848
[adg] Max Price: 157, Min Price: 19, Unweighted Average Price: 65.16666666666667, Total Volume Traded: 8242
[aea] Max Price: 188, Min Price: 12, Unweighted Average Price: 68.78571428571429, Total Volume Traded: 7563
[aeb] Max Price: 469, Min Price: 174, Unweighted Average Price: 293.33846153846156, Total Volume Traded: 9117
[aec] Max Price: 32, Min Price: 10, Unweighted Average Price: 19.810344827586206, Total Volume Traded: 8098
[aed] Max Price: 241, Min Price: 44, Unweighted Average Price: 121.80392156862744, Total Volume Traded: 7902
[aee] Max Price: 448, Min Price: 209, Unweighted Average Price: 336.4791666666667, Total Volume Traded: 6136
[aef] Max Price: 341, Min Price: 53, Unweighted Average Price: 138.6315789473684, Total Volume Traded: 8580
[aeg] Max Price: 672, Min Price: 53, Unweighted Average Price: 221.10526315789474, Total Volume Traded: 6673
[afa] Max Price: 63, Min Price: 5, Unweighted Average Price: 28.0, Total Volume Traded: 7524
[afb] Max Price: 200, Min Price: 41, Unweighted Average Price: 96.39285714285714, Total Volume Traded: 9041
[afc] Max Price: 138, Min Price: 7, Unweighted Average Price: 45.682539682539684, Total Volume Traded: 9574
[afd] Max Price: 178, Min Price: 21, Unweighted Average Price: 93.2, Total Volume Traded: 9177
[afe] Max Price: 144, Min Price: 58, Unweighted Average Price: 97.13333333333334, Total Volume Traded: 9054
[aff] Max Price: 313, Min Price: 101, Unweighted Average Price: 167.70967741935485, Total Volume Traded: 8763
[afg] Max Price: 461, Min Price: 46, Unweighted Average Price: 221.85245901639345, Total Volume Traded: 8546
[aga] Max Price: 114, Min Price: 12, Unweighted Average Price: 59.776119402985074, Total Volume Traded: 10657
[agb] Max Price: 34, Min Price: 5, Unweighted Average Price: 9.96774193548387, Total Volume Traded: 9295
[agc] Max Price: 122, Min Price: 23, Unweighted Average Price: 72.46296296296296, Total Volume Traded: 8071
[agd] Max Price: 147, Min Price: 41, Unweighted Average Price: 84.72413793103448, Total Volume Traded: 7846
[age] Max Price: 339, Min Price: 89, Unweighted Average Price: 152.60344827586206, Total Volume Traded: 9034
[agf] Max Price: 338, Min Price: 79, Unweighted Average Price: 169.64814814814815, Total Volume Traded: 7876
[agg] Max Price: 80, Min Price: 5, Unweighted Average Price: 26.918032786885245, Total Volume Traded: 9228
[baa] Max Price: 219, Min Price: 54, Unweighted Average Price: 117.81666666666666, Total Volume Traded: 7978
[bab] Max Price: 8, Min Price: 5, Unweighted Average Price: 5.2, Total Volume Traded: 8902
[bac] Max Price: 100, Min Price: 6, Unweighted Average Price: 23.912280701754387, Total Volume Traded: 8662
[bad] Max Price: 102, Min Price: 5, Unweighted Average Price: 27.694915254237287, Total Volume Traded: 8468
[bae] Max Price: 202, Min Price: 12, Unweighted Average Price: 74.98333333333333, Total Volume Traded: 9736
[baf] Max Price: 269, Min Price: 80, Unweighted Average Price: 154.01923076923077, Total Volume Traded: 8658
[bag] Max Price: 27, Min Price: 5, Unweighted Average Price: 8.35593220338983, Total Volume Traded: 9073
[bba] Max Price: 22, Min Price: 5, Unweighted Average Price: 9.258064516129032, Total Volume Traded: 9914
[bbb] Max Price: 180, Min Price: 30, Unweighted Average Price: 81.98591549295774, Total Volume Traded: 9962
